label,latitude,longitude,altitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y
2053,36.0807006,140.0805113,,73.142080,2,2,0,0,1,-1,372.057080534597,-256.424447041912
2054,36.0807114,140.0805554,,71.049534,2,2,0,0,1,-1,376.024513857548,-255.222196541532
2055,36.0807225,140.0805954,,69.418335,2,2,0,0,1,-1,379.623092836696,-253.986550193525
2056,36.0807347,140.0806356,,32.495570,2,2,0,0,1,-1,383.239664709667,-252.628452405795
2057,36.0807465,140.0806449,,0.661481,2,2,0,0,1,-1,384.076334320964,-251.314882414903
2058,36.0807815,140.0806454,,348.119447,2,2,0,0,1,-1,384.121316558075,-247.418700236693
2059,36.0808203,140.0806353,,347.513237,2,2,0,0,1,-1,383.212675366377,-243.099503994062
2060,36.0808557,140.0806256,,339.288452,2,2,0,0,1,-1,382.34001996488,-239.158794019805
2061,36.0808899,140.0806096,,334.724910,2,2,0,0,1,-1,380.900588374754,-235.35166743527
2062,36.0809178,140.0805933,,316.683878,2,2,0,0,1,-1,379.434167441339,-232.245853641436
2063,36.080919,140.0805919,,323.409683,2,2,0,0,1,-1,379.308217176916,-232.112270252505
2064,36.0809276,140.080584,,316.212534,2,2,0,0,1,-1,378.597497827486,-231.15492263236
2065,36.0809534,140.0805534,,306.215434,2,2,0,0,1,-1,375.844584909102,-228.282879769552
2066,36.080965,140.0805338,,328.995881,2,2,0,0,1,-1,374.081281209728,-226.991573676288
2067,36.0809689,140.0805309,,314.285426,2,2,0,0,1,-1,373.82038423397,-226.557427662657
2068,36.0809931,140.0805002,,314.960593,2,2,0,0,1,-1,371.058474868676,-223.863495984827
2069,36.0810182,140.0804691,,308.351086,2,2,0,0,1,-1,368.26057971318,-221.069376766484
2070,36.0810409,140.0804336,,312.120234,2,2,0,0,1,-1,365.066840870592,-218.542424325212
2071,36.0810656,140.0803998,,314.755038,2,2,0,0,1,-1,362.026041633161,-215.792832902916
2072,36.0810902,140.0803691,,307.998430,2,2,0,0,1,-1,359.264132267866,-213.054373429039
2073,36.0811075,140.0803417,,326.905245,2,2,0,0,1,-1,356.79910566853,-211.128546237957
2074,36.0811106,140.0803392,,313.346028,2,2,0,0,1,-1,356.574194482973,-210.783455817211
