label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node
488,36.0820854,140.08165549999998,0,272.044193,28423.430804,44506.065088,-222.912012,0.000000000,0.000000000,-0.999840890,-0.017838003,0,0,0,0,1,-1
489,36.0820857,140.0816451,0,264.042443,28422.493981,44506.095366,-222.908053,0.000000000,0.000000000,-0.998648851,0.051966075,0,0,0,0,1,-1
490,36.0820843,140.0816285,0,285.610541,28420.999343,44505.935223,-222.900280,0.000000000,0.000000000,-0.990735352,-0.135806708,0,0,0,0,1,-1
491,36.0820885,140.0816099,0,272.698781,28419.322552,44506.395862,-222.896041,0.000000000,0.000000000,-0.999722681,-0.023549130,0,0,0,0,1,-1
492,36.082088899999995,140.0815994,0,280.894927,28418.376686,44506.437207,-222.892121,0.000000000,0.000000000,-0.995483664,-0.094932999,0,0,0,0,1,-1
493,36.082089599999996,140.0815949,0,284.323181,28417.971124,44506.513576,-222.890851,0.000000000,0.000000000,-0.992198498,-0.124668119,0,0,0,0,1,-1
494,36.0820909,140.0815886,0,278.640351,28417.403223,44506.655997,-222.889320,0.000000000,0.000000000,-0.997158670,-0.075329860,0,0,0,0,1,-1
495,36.0820923,140.0815772,0,267.048641,28416.375935,44506.808040,-222.885813,0.000000000,0.000000000,-0.999668346,0.025752619,0,0,0,0,1,-1
496,36.0820922,140.0815748,0,277.793987,28416.159806,44506.796250,-222.884769,0.000000000,0.000000000,-0.997687846,-0.067962939,0,0,0,0,1,-1
497,36.0820972,140.08152959999998,0,272.401838,28412.086898,44507.337961,-222.870437,0.000000000,0.000000000,-0.999780347,-0.020958456,0,0,0,0,1,-1
498,36.0820988,140.0814824,0,278.282454,28407.835076,44507.501842,-222.852667,0.000000000,0.000000000,-0.997389079,-0.072215131,0,0,0,0,1,-1
499,36.0820994,140.0814773,0,260.114032,28407.375510,44507.566941,-222.851078,0.000000000,0.000000000,-0.996280935,0.086164370,0,0,0,0,1,-1
500,36.0820964,140.081456,0,273.372072,28405.458124,44507.227910,-222.840175,0.000000000,0.000000000,-0.999567061,-0.029422633,0,0,0,0,1,-1
501,36.0820967,140.0814497,0,264.530728,28404.890582,44507.259376,-222.837870,0.000000000,0.000000000,-0.998861216,0.047710283,0,0,0,0,1,-1
502,36.0820954,140.08143289999998,0,277.196143,28403.377895,44507.110273,-222.830098,0.000000000,0.000000000,-0.998028841,-0.062756927,0,0,0,0,1,-1
503,36.0820959,140.081428,0,268.364402,28402.936378,44507.164335,-222.828512,0.000000000,0.000000000,-0.999898138,0.014272801,0,0,0,0,1,-1
504,36.082095599999995,140.081415,0,275.653213,28401.765591,44507.127289,-222.823045,0.000000000,0.000000000,-0.998783345,-0.049313581,0,0,0,0,1,-1
505,36.082096,140.08141,0,264.521002,28401.315104,44507.170226,-222.821342,0.000000000,0.000000000,-0.998857163,0.047795062,0,0,0,0,1,-1
506,36.082094999999995,140.0813971,0,279.199621,28400.153576,44507.055539,-222.815373,0.000000000,0.000000000,-0.996779144,-0.080195628,0,0,0,0,1,-1
507,36.082097499999996,140.081378,0,265.611992,28398.432363,44507.327411,-222.809621,0.000000000,0.000000000,-0.999266928,0.038283236,0,0,0,0,1,-1
508,36.0820967,140.0813651,0,274.367778,28397.270764,44507.234915,-222.803807,0.000000000,0.000000000,-0.999273671,-0.038106825,0,0,0,0,1,-1
509,36.0820972,140.081357,0,270.460354,28396.541027,44507.288053,-222.800934,0.000000000,0.000000000,-0.999991930,-0.004017336,0,0,0,0,1,-1
510,36.0820973,140.0813416,0,262.946319,28395.153932,44507.294697,-222.794812,0.000000000,0.000000000,-0.998106090,0.061516114,0,0,0,0,1,-1
511,36.082096799999995,140.0813366,0,272.847723,28394.703767,44507.237773,-222.792412,0.000000000,0.000000000,-0.999691228,-0.024848513,0,0,0,0,1,-1
512,36.0820976,140.0813167,0,279.043471,28392.911111,44507.320786,-222.785021,0.000000000,0.000000000,-0.996887498,-0.078837277,0,0,0,0,1,-1
513,36.0821007,140.08129259999998,0,256.319429,28390.739339,44507.657788,-222.777724,0.000000000,0.000000000,-0.992882011,0.119102108,0,0,0,0,1,-1
514,36.0820983,140.0812804,0,275.102632,28389.641363,44507.387965,-222.770953,0.000000000,0.000000000,-0.999008754,-0.044514150,0,0,0,0,1,-1
515,36.0820997,140.08126099999998,0,261.297000,28387.893525,44507.537698,-222.764231,0.000000000,0.000000000,-0.997117336,0.075875011,0,0,0,0,1,-1
516,36.0820985,140.0812513,0,269.517743,28387.020289,44507.401746,-222.759397,0.000000000,0.000000000,-0.999991144,0.004208474,0,0,0,0,1,-1
517,36.0820982,140.0812072,0,274.332259,28383.048364,44507.355716,-222.741418,0.000000000,0.000000000,-0.999285435,-0.037797086,0,0,0,0,1,-1
518,36.0820985,140.0812023,0,267.166500,28382.606919,44507.387587,-222.739679,0.000000000,0.000000000,-0.999694304,0.024724432,0,0,0,0,1,-1
519,36.0820982,140.0811948,0,283.393681,28381.931511,44507.352133,-222.736429,0.000000000,0.000000000,-0.993177082,-0.116615970,0,0,0,0,1,-1
520,36.0821038,140.08116569999999,0,254.125297,28379.308497,44507.965086,-222.729062,0.000000000,0.000000000,-0.990419652,0.138090236,0,0,0,0,1,-1
521,36.082094399999995,140.0811248,0,188.057531,28375.628062,44506.910273,-222.705320,0.000000000,0.000000000,-0.755038861,0.655680042,0,0,0,0,1,-1
522,36.0820493,140.08111689999998,0,189.674460,28374.932724,44501.903819,-222.667182,0.000000000,0.000000000,-0.764215277,0.644961247,0,0,0,0,1,-1
523,36.0820109,140.08110879999998,0,201.531322,28374.216963,44497.640722,-222.634160,0.000000000,0.000000000,-0.826743553,0.562578970,0,0,0,0,1,-1
524,36.0819982,140.08110259999998,0,259.711245,28373.663099,44496.229774,-222.621823,0.000000000,0.000000000,-0.995971915,0.089665737,0,0,0,0,1,-1
525,36.0819933,140.0810692,0,282.678954,28370.656559,44495.676437,-222.604591,0.000000000,0.000000000,-0.993885112,-0.110419128,0,0,0,0,1,-1
526,36.0819937,140.081067,0,271.174900,28370.458263,44495.720184,-222.604016,0.000000000,0.000000000,-0.999947439,-0.010252757,0,0,0,0,1,-1
527,36.081994,140.08104889999998,0,289.340103,28368.827908,44495.748244,-222.596969,0.000000000,0.000000000,-0.985791404,-0.167974129,0,0,0,0,1,-1
528,36.0820058,140.08100729999998,0,289.109139,28365.076804,44497.045526,-222.589385,0.000000000,0.000000000,-0.986127960,-0.165986886,0,0,0,0,1,-1
529,36.0820072,140.0810023,0,270.000004,28364.625956,44497.199423,-222.588459,0.000000000,0.000000000,-1.000000000,-0.000000035,0,0,0,0,1,-1
530,36.0820072,140.0809888,0,278.250540,28363.410026,44497.195524,-222.583030,0.000000000,0.000000000,-0.997409152,-0.071937353,0,0,0,0,1,-1
531,36.082008699999996,140.080976,0,274.795235,28362.256606,44497.358264,-222.579046,0.000000000,0.000000000,-0.999124571,-0.041834108,0,0,0,0,1,-1
532,36.0820095,140.08096419999998,0,275.543057,28361.193506,44497.443623,-222.574922,0.000000000,0.000000000,-0.998830289,-0.048353436,0,0,0,0,1,-1
533,36.082009899999996,140.0809591,0,262.528403,28360.734011,44497.486534,-222.573181,0.000000000,0.000000000,-0.997875104,0.065155795,0,0,0,0,1,-1
534,36.0820076,140.08093739999998,0,281.126135,28358.780342,44497.225067,-222.562674,0.000000000,0.000000000,-0.995290095,-0.096941362,0,0,0,0,1,-1
535,36.08201,140.0809223,0,271.027360,28357.419440,44497.487005,-222.558464,0.000000000,0.000000000,-0.999959811,-0.008965287,0,0,0,0,1,-1
536,36.0820101,140.08091539999998,0,283.825962,28356.797929,44497.496109,-222.555767,0.000000000,0.000000000,-0.992730098,-0.120361756,0,0,0,0,1,-1
537,36.0820137,140.0808973,0,256.561834,28355.166389,44497.890330,-222.551281,0.000000000,0.000000000,-0.993131736,0.117001517,0,0,0,0,1,-1
538,36.0820109,140.08088279999998,0,301.744171,28353.861396,44497.575465,-222.543282,0.000000000,0.000000000,-0.961874668,-0.273490626,0,0,0,0,1,-1
