label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y
2030,36.080846,140.0797534,0,170.237778,28252.554341,44367.995970,-221.188553,0.000000000,0.000000000,-0.644375770,0.764709008,2,2,0,0,1,-1,303.873005349145,-240.238593080463
2031,36.0808103,140.079761,0,169.048074,28253.251646,44364.036983,-221.164009,0.000000000,0.000000000,-0.636401880,0.771357665,2,2,0,0,1,-1,304.556735355286,-244.212698902348
2032,36.0807748,140.0797695,0,165.177696,28254.029944,44360.100446,-221.139982,0.000000000,0.000000000,-0.609990942,0.792408386,2,2,0,0,1,-1,305.321433388738,-248.164540825023
2033,36.0807409,140.0797806,0,154.369165,28255.041853,44356.342189,-221.118236,0.000000000,0.000000000,-0.532648558,0.846336525,2,2,0,0,1,-1,306.320039054659,-251.938271563512
2034,36.0807094,140.0797993,0,155.980493,28256.737439,44352.852415,-221.101391,0.000000000,0.000000000,-0.544496260,0.838763270,2,2,0,0,1,-1,308.002374726721,-255.444835523348
2035,36.0806773,140.079817,0,155.873262,28258.343171,44349.295779,-221.083684,0.000000000,0.000000000,-0.543711134,0.839272424,2,2,0,0,1,-1,309.594745924559,-259.018191177649
2036,36.080645,140.0798349,0,155.413089,28259.966989,44345.717010,-221.065905,0.000000000,0.000000000,-0.540336437,0.841449069,2,2,0,0,1,-1,311.20511001622,-262.613810730369
2037,36.0806125,140.0798533,0,148.030975,28261.635916,44342.116194,-221.048174,0.000000000,0.000000000,-0.485046019,0.874488627,2,2,0,0,1,-1,312.860456347549,-266.231694180717
2038,36.0805844,140.079875,0,130.106794,28263.600502,44339.004539,-221.035166,0.000000000,0.000000000,-0.342895744,0.939373466,2,2,0,0,1,-1,314.812685442279,-269.359771872178
2039,36.0805618,140.0799082,0,89.001582,28266.598932,44336.506459,-221.031016,0.000000000,0.000000000,0.008712730,0.999962043,2,2,0,0,1,-1,317.799505995688,-271.87559236424
2040,36.0805624,140.0799508,0,72.811406,28270.435723,44336.585292,-221.048552,0.000000000,0.000000000,0.149436926,0.988771260,2,2,0,0,1,-1,321.631992607305,-271.808800669774
2041,36.0805734,140.0799948,0,73.145138,28274.394888,44337.818486,-221.074682,0.000000000,0.000000000,0.146556637,0.989202281,2,2,0,0,1,-1,325.590429480789,-270.584286270976
2042,36.0805841,140.0800385,0,72.883966,28278.327139,44339.018308,-221.100464,0.000000000,0.000000000,0.148810800,0.988865686,2,2,0,0,1,-1,329.521877016097,-269.393167719806
2043,36.0805952,140.0800831,0,74.307783,28282.340309,44340.262773,-221.126918,0.000000000,0.000000000,0.136512828,0.990638303,2,2,0,0,1,-1,333.53429257616,-268.157521371798
2044,36.0806046,140.0801245,0,75.037757,28286.065861,44341.317692,-221.150778,0.000000000,0.000000000,0.130199512,0.991487815,2,2,0,0,1,-1,337.258821817175,-267.111118157978
2045,36.0806146,140.0801708,0,73.885673,28290.232543,44342.440597,-221.177070,0.000000000,0.000000000,0.140161013,0.990128724,2,2,0,0,1,-1,341.424176984951,-265.997923250483
2046,36.0806245,140.0802132,0,72.405124,28294.047984,44343.551286,-221.201723,0.000000000,0.000000000,0.152941647,0.988235221,2,2,0,0,1,-1,345.238670702746,-264.895860291406
2047,36.0806357,140.0802569,0,72.065574,28297.980051,44344.806595,-221.227904,0.000000000,0.000000000,0.155869244,0.987777697,2,2,0,0,1,-1,349.170118235497,-263.64908199498
2048,36.080647,140.0803001,0,75.128496,28301.867045,44346.072857,-221.253964,0.000000000,0.000000000,0.129414364,0.991590602,2,2,0,0,1,-1,353.056583531136,-262.391171748553
2049,36.0806564,140.0803439,0,70.979375,28305.808761,44347.128475,-221.278800,0.000000000,0.000000000,0.165225122,0.986255879,2,2,0,0,1,-1,356.997027513355,-261.344768535524
2050,36.0806676,140.0803841,0,69.257458,28309.425578,44348.382781,-221.303584,0.000000000,0.000000000,0.180025944,0.983661862,2,2,0,0,1,-1,360.613599386325,-260.097990238307
2051,36.0806807,140.0804269,0,73.005538,28313.275895,44349.848656,-221.330882,0.000000000,0.000000000,0.147761614,0.989023006,2,2,0,0,1,-1,364.464078891764,-258.639704909274
2052,36.080691,140.0804686,0,74.454318,28317.028138,44351.003536,-221.355578,0.000000000,0.000000000,0.135245929,0.990812060,2,2,0,0,1,-1,368.215597476069,-257.49311415336
2053,36.0807006,140.0805113,0,73.142080,28320.870701,44352.081035,-221.380137,0.000000000,0.000000000,0.146583035,0.989198369,2,2,0,0,1,-1,372.057080534597,-256.424447041912
2054,36.0807114,140.0805554,0,71.049534,28324.838931,44353.292089,-221.406188,0.000000000,0.000000000,0.164621253,0.986356854,2,2,0,0,1,-1,376.024513857548,-255.222196541532
2055,36.0807225,140.0805954,0,69.418335,28328.437764,44354.535249,-221.430826,0.000000000,0.000000000,0.178644788,0.983913634,2,2,0,0,1,-1,379.623092836696,-253.986550193525
2056,36.0807347,140.0806356,0,32.495570,28332.054215,44355.900521,-221.456398,0.000000000,0.000000000,0.481022662,0.876708160,2,2,0,0,1,-1,383.239664709667,-252.628452405795
2057,36.0807465,140.0806449,0,0.661481,28332.887636,44357.212498,-221.469250,0.000000000,0.000000000,0.703013241,0.711176759,2,2,0,0,1,-1,384.076334320964,-251.314882414903
2058,36.0807815,140.0806454,0,348.119447,28332.920115,44361.096146,-221.496493,0.000000000,0.000000000,-0.776489554,-0.630130124,2,2,0,0,1,-1,384.121316558075,-247.418700236693
2059,36.0808203,140.0806353,0,347.513237,28331.996485,44365.398373,-221.522418,0.000000000,0.000000000,-0.779812175,-0.626013556,2,2,0,0,1,-1,383.212675366377,-243.099503994062
2060,36.0808557,140.0806256,0,339.288452,28331.110104,44369.323461,-221.545879,0.000000000,0.000000000,-0.822697811,-0.568478946,2,2,0,0,1,-1,382.34001996488,-239.158794019805
2061,36.0808899,140.0806096,0,334.724910,28329.656713,44373.113584,-221.565884,0.000000000,0.000000000,-0.844678863,-0.535273406,2,2,0,0,1,-1,380.900588374754,-235.35166743527
2062,36.0809178,140.0805933,0,316.683878,28328.178561,44376.204590,-221.580902,0.000000000,0.000000000,-0.918156606,-0.396217675,2,2,0,0,1,-1,379.434167441339,-232.245853641436
2063,36.080919,140.0805919,0,323.409683,28328.052032,44376.337335,-221.581268,0.000000000,0.000000000,-0.893333418,-0.449394487,2,2,0,0,1,-1,379.308217176916,-232.112270252505
2064,36.0809276,140.080584,0,316.212534,28327.337394,44377.289289,-221.584742,0.000000000,0.000000000,-0.919778578,-0.392437724,2,2,0,0,1,-1,378.597497827486,-231.15492263236
2065,36.0809534,140.0805534,0,306.215434,28324.571994,44380.143161,-221.592397,0.000000000,0.000000000,-0.950473879,-0.310804449,2,2,0,0,1,-1,375.844584909102,-228.282879769552
2066,36.080965,140.0805338,0,328.995881,28322.802460,44381.424614,-221.593494,0.000000000,0.000000000,-0.870373396,-0.492392275,2,2,0,0,1,-1,374.081281209728,-226.991573676288
2067,36.0809689,140.0805309,0,314.285426,28322.539859,44381.856511,-221.595345,0.000000000,0.000000000,-0.926247905,-0.376914869,2,2,0,0,1,-1,373.82038423397,-226.557427662657
2068,36.0809931,140.0805002,0,314.960593,28319.766029,44384.532825,-221.601727,0.000000000,0.000000000,-0.924011079,-0.382365696,2,2,0,0,1,-1,371.058474868676,-223.863495984827
2069,36.0810182,140.0804691,0,308.351086,28316.955851,44387.308885,-221.608647,0.000000000,0.000000000,-0.944516663,-0.328463505,2,2,0,0,1,-1,368.26057971318,-221.069376766484
2070,36.0810409,140.0804336,0,312.120234,28313.750227,44389.817382,-221.611947,0.000000000,0.000000000,-0.933203899,-0.359347302,2,2,0,0,1,-1,365.066840870592,-218.542424325212
2071,36.0810656,140.0803998,0,314.755038,28310.697006,44392.548283,-221.617479,0.000000000,0.000000000,-0.924695482,-0.380707585,2,2,0,0,1,-1,362.026041633161,-215.792832902916
2072,36.0810902,140.0803691,0,307.998430,28307.923040,44395.268984,-221.624180,0.000000000,0.000000000,-0.945523036,-0.325555200,2,2,0,0,1,-1,359.264132267866,-213.054373429039
2073,36.0811075,140.0803417,0,326.905245,28305.448923,44397.180648,-221.626562,0.000000000,0.000000000,-0.879211372,-0.476431909,2,2,0,0,1,-1,356.79910566853,-211.128546237957
2074,36.0811106,140.0803392,0,313.346028,28305.222637,44397.523895,-221.627956,0.000000000,0.000000000,-0.929306617,-0.369309100,2,2,0,0,1,-1,356.574194482973,-210.783455817211
2075,36.0811344,140.080308,0,311.946076,28302.403927,44400.155687,-221.633842,0.000000000,0.000000000,-0.933748962,-0.357928590,2,2,0,0,1,-1,353.767302880566,-208.134051936218
2076,36.0811413,140.0802985,0,333.493614,28301.545790,44400.918555,-221.635367,0.000000000,0.000000000,-0.850381549,-0.526166534,2,2,0,0,1,-1,352.912640372891,-207.365947449469
2077,36.0811729,140.080279,0,345.417524,28299.778103,44404.419186,-221.651983,0.000000000,0.000000000,-0.791130005,-0.611648031,2,2,0,0,1,-1,351.158333120428,-203.848251540424
2078,36.0812108,140.0802668,0,350.943716,28298.665670,44408.620950,-221.676403,0.000000000,0.000000000,-0.760724864,-0.649074481,2,2,0,0,1,-1,350.060766533373,-199.629242839095
2079,36.0812468,140.0802597,0,1.600569,28298.013275,44412.613365,-221.701403,0.000000000,0.000000000,0.697161543,0.716914069,2,2,0,0,1,-1,349.422018764344,-195.621741171164
2080,36.0812844,140.080261,0,8.043854,28298.116893,44416.785731,-221.731012,0.000000000,0.000000000,0.655770155,0.754960598,2,2,0,0,1,-1,349.538972581857,-191.436128316672
2081,36.081321,140.0802674,0,2.257630,28298.680224,44420.848610,-221.761897,0.000000000,0.000000000,0.693039363,0.720899744,2,2,0,0,1,-1,350.114745217396,-187.361834954275
2082,36.0813579,140.0802692,0,6.278102,28298.829126,44424.943450,-221.791171,0.000000000,0.000000000,0.667325101,0.744766547,2,2,0,0,1,-1,350.27668127202,-183.254145743459
2083,36.0813961,140.0802744,0,1.304151,28299.283799,44429.183515,-221.822818,0.000000000,0.000000000,0.699013675,0.715108301,2,2,0,0,1,-1,350.744496539514,-179.001741195293
2084,36.0814316,140.0802754,0,7.265310,28299.361148,44433.122785,-221.850693,0.000000000,0.000000000,0.660884242,0.750487854,2,2,0,0,1,-1,350.834461013737,-175.049899272618
2085,36.0814671,140.080281,0,2.867229,28299.852816,44437.063380,-221.880416,0.000000000,0.000000000,0.689194565,0.724576325,2,2,0,0,1,-1,351.338262068874,-171.098057349151
2086,36.0815026,140.0802832,0,1.966874,28300.038247,44441.002995,-221.908777,0.000000000,0.000000000,0.694866287,0.719138959,2,2,0,0,1,-1,351.536183913699,-167.146215425685
2087,36.0815379,140.0802847,0,2.228874,28300.160701,44444.920218,-221.936705,0.000000000,0.000000000,0.693220247,0.720725807,2,2,0,0,1,-1,351.671130625033,-163.216637400637
2088,36.0815732,140.0802864,0,358.575517,28300.301169,44448.837498,-221.964716,0.000000000,0.000000000,-0.715841937,-0.698262359,2,2,0,0,1,-1,351.824070232747,-159.28705937559
2089,36.0816122,140.0802852,0,3.616826,28300.179109,44453.164484,-221.994430,0.000000000,0.000000000,0.684440061,0.729069135,2,2,0,0,1,-1,351.716112862145,-154.945599235331
2090,36.081648,140.080288,0,326.709293,28300.418474,44457.137560,-222.023274,0.000000000,0.000000000,-0.880024786,-0.474927759,2,2,0,0,1,-1,351.968013390992,-150.960361464236
2091,36.0816496,140.0802867,0,312.920808,28300.300811,44457.314717,-222.023992,0.000000000,0.000000000,-0.930670628,-0.365858146,2,2,0,0,1,-1,351.851059573479,-150.782250279258
2092,36.0816617,140.0802706,0,325.746505,28298.846359,44458.652661,-222.026902,0.000000000,0.000000000,-0.883983978,-0.467517193,2,2,0,0,1,-1,350.402631536443,-149.435284440738
2093,36.0816725,140.0802615,0,313.845791,28298.022859,44459.848378,-222.031615,0.000000000,0.000000000,-0.927687133,-0.373358518,2,2,0,0,1,-1,349.583954818968,-148.233033940359
2094,36.0816895,140.0802396,0,333.368081,28296.044250,44461.728342,-222.035995,0.000000000,0.000000000,-0.850957444,-0.525234641,2,2,0,0,1,-1,347.613732827859,-146.340602596905
2095,36.0817227,140.080219,0,352.432507,28294.176928,44465.406189,-222.053444,0.000000000,0.000000000,-0.752228024,-0.658902876,2,2,0,0,1,-1,345.760464654262,-142.644795502092
2096,36.0817592,140.080213,0,18.660384,28293.623436,44469.454399,-222.079308,0.000000000,0.000000000,0.583113203,0.812390911,2,2,0,0,1,-1,345.220677806367,-138.581634088113
2097,36.0817939,140.0802275,0,65.876969,28294.917006,44473.308792,-222.112003,0.000000000,0.000000000,0.208961757,0.977923813,2,2,0,0,1,-1,346.525162687715,-134.718847757531
2098,36.0818091,140.0802695,0,62.993009,28298.694463,44475.007441,-222.140627,0.000000000,0.000000000,0.233504686,0.972355677,2,2,0,0,1,-1,350.303670612752,-133.026791497474
2099,36.0818257,140.0803098,0,52.315635,28302.318299,44476.860941,-222.169656,0.000000000,0.000000000,0.322962553,0.946411744,2,2,0,0,1,-1,353.929238932634,-131.178887950858
2100,36.0818473,140.0803444,0,62.334340,28305.426948,44479.267587,-222.200273,0.000000000,0.000000000,0.239089870,0.970997443,2,2,0,0,1,-1,357.042009750466,-128.774386949308
2101,36.0818634,140.0803824,0,82.241329,28308.843801,44481.064949,-222.227997,0.000000000,0.000000000,0.067655458,0.997708745,2,2,0,0,1,-1,360.460659778612,-126.982143147948
2102,36.0818683,140.0804269,0,81.681817,28312.850117,44481.621465,-222.249653,0.000000000,0.000000000,0.072526108,0.997366514,2,2,0,0,1,-1,364.464078891764,-126.436677643015
2103,36.0818737,140.0804726,0,89.999987,28316.964337,44482.233807,-222.272182,0.000000000,0.000000000,0.000000113,1.000000000,2,2,0,0,1,-1,368.575455375518,-125.835552392825
2104,36.0818737,140.0805166,0,91.946016,28320.927374,44482.246492,-222.289847,0.000000000,0.000000000,-0.016981377,0.999855806,2,2,0,0,1,-1,372.533892249001,-125.835552392825
2105,36.0818725,140.0805603,0,89.845867,28324.863822,44482.125943,-222.306464,0.000000000,0.000000000,0.001345064,0.999999095,2,2,0,0,1,-1,376.465339784309,-125.969135781756
2106,36.0818726,140.0806063,0,99.217364,28329.006962,44482.150304,-222.325014,0.000000000,0.000000000,-0.080349965,0.996766715,2,2,0,0,1,-1,380.603705608796,-125.958003832547
2107,36.081867,140.080649,0,84.587239,28332.854919,44481.541258,-222.337826,0.000000000,0.000000000,0.047217688,0.998884623,2,2,0,0,1,-1,384.445188667324,-126.581392981155
2108,36.0818704,140.0806934,0,84.677364,28336.852765,44481.931320,-222.358295,0.000000000,0.000000000,0.046432061,0.998921450,2,2,0,0,1,-1,388.439611333565,-126.20290671199
2109,36.0818736,140.0807359,0,77.387894,28340.679551,44482.298644,-222.377849,0.000000000,0.000000000,0.109839317,0.993949357,2,2,0,0,1,-1,392.263101498271,-125.846684341243
2110,36.0818819,140.0807818,0,73.122731,28344.810741,44483.232833,-222.402723,0.000000000,0.000000000,0.146750061,0.989173604,2,2,0,0,1,-1,396.392470873289,-124.922732567936
2111,36.0818921,140.0808234,0,72.925927,28348.553951,44484.376601,-222.427344,0.000000000,0.000000000,0.148448689,0.988920111,2,2,0,0,1,-1,400.134993010683,-123.787273762022
2112,36.0819026,140.0808657,0,74.300101,28352.360101,44485.553861,-222.452481,0.000000000,0.000000000,0.136579238,0.990629149,2,2,0,0,1,-1,403.940490281568,-122.618419108479
2113,36.0819123,140.0809084,0,60.956547,28356.202564,44486.642471,-222.477162,0.000000000,0.000000000,0.250747107,0.968052627,2,2,0,0,1,-1,407.781973340095,-121.538620047822
2114,36.0819307,140.0809494,0,40.909822,28359.888785,44488.695920,-222.507903,0.000000000,0.000000000,0.415409210,0.909634646,2,2,0,0,1,-1,411.47051679091,-119.490341417018
2115,36.0819584,140.0809791,0,23.499770,28362.553885,44491.778011,-222.541310,0.000000000,0.000000000,0.548294908,0.836285055,2,2,0,0,1,-1,414.142461684538,-116.406791522394
2116,36.0819926,140.0809975,0,17.034155,28364.198870,44495.578061,-222.575213,0.000000000,0.000000000,0.594583164,0.804034117,2,2,0,0,1,-1,415.79780801331,-112.599664937069
2117,36.0820261,140.0810102,0,12.568249,28365.330712,44499.298795,-222.606285,0.000000000,0.000000000,0.625458874,0.780257135,2,2,0,0,1,-1,416.940356837477,-108.870461995418
2118,36.0820348,140.0810126,0,310.897457,28365.543752,44500.264816,-222.613993,0.000000000,0.000000000,-0.936985200,-0.349369054,2,2,0,0,1,-1,417.156271576123,-107.901982426063
2119,36.0820355,140.0810116,0,310.897457,28365.453432,44500.342198,-222.614134,0.000000000,0.000000000,-0.936985200,-0.349369054,2,2,0,0,1,-1,417.0663071019,-107.824058782388
