label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
753,36.0812503,140.0805181,0,278.792157,28321.286045,44413.076185,-221.807817,0.000000000,0.000000000,-0.997058001,-0.076650787,2,2,0,0,1,-1,372.668838962893,-195.232122952789,372.168293625538,-195.43690539495,47.295640121265,0.540815572413179
754,36.0812506,140.0805157,0,268.351751,28321.069770,44413.108780,-221.807085,0.000000000,0.000000000,-0.999896557,0.014383190,2,2,0,0,1,-1,372.452924224246,-195.198727105952,371.946125192445,-195.428592988239,47.247347209153,0.556492212411087
755,36.08125,140.0804899,0,271.476645,28318.746186,44413.034768,-221.796263,0.000000000,0.000000000,-0.999916975,-0.012885802,2,2,0,0,1,-1,370.131840783156,-195.265518800417,369.649525608903,-195.616879045003,46.9250323415511,0.59672602489785
756,36.0812501,140.0804851,0,271.211696,28318.313815,44413.044480,-221.794413,0.000000000,0.000000000,-0.999944095,-0.010573845,2,2,0,0,1,-1,369.700011305862,-195.254386851208,369.294984847498,-195.541588497033,46.9757144815856,0.496519100679415
757,36.0812503,140.0804734,0,277.667824,28317.259927,44413.063298,-221.789871,0.000000000,0.000000000,-0.997762068,-0.066864464,2,2,0,0,1,-1,368.647426953362,-195.232122952789,368.475984383989,-195.479269570493,47.0234667518963,0.300788971267267
758,36.0812545,140.0804348,0,266.260893,28313.781729,44413.518192,-221.777625,0.000000000,0.000000000,-0.999467693,0.032624074,2,2,0,0,1,-1,365.174798241194,-194.76458109153,364.861922463038,-195.027881678986,46.5634981104143,0.408923528195371
759,36.081253,140.0804064,0,286.629275,28311.224286,44413.343571,-221.765065,0.000000000,0.000000000,-0.989488878,-0.144608993,2,2,0,0,1,-1,362.619807165078,-194.93156032809,362.495693292221,-195.024007375167,46.5606631342495,0.154760169129666
760,36.0812579,140.0803861,0,265.775164,28309.394113,44413.881411,-221.760709,0.000000000,0.000000000,-0.999320428,0.036860297,2,2,0,0,1,-1,360.793528334771,-194.386094823156,360.677523573685,-194.455838722357,46.3724403237855,0.135356256118724
761,36.0812571,140.0803727,0,278.605274,28308.187466,44413.788783,-221.754712,0.000000000,0.000000000,-0.997181682,-0.075024622,2,2,0,0,1,-1,359.588004377114,-194.47515041604,359.400164218361,-194.583554788882,46.1862574748897,0.216876539284018
762,36.0812588,140.0803588,0,271.996227,28306.934887,44413.973405,-221.750449,0.000000000,0.000000000,-0.999848269,-0.017419486,2,2,0,0,1,-1,358.337498182346,-194.285907281062,358.344683257114,-194.509204067256,46.0560282379735,0.223412354232847
763,36.0812592,140.0803446,0,273.219091,28305.655753,44414.013696,-221.745060,0.000000000,0.000000000,-0.999605449,-0.028088174,2,2,0,0,1,-1,357.060002644288,-194.241379485016,357.27972142031,-194.521165199955,45.9914630688283,0.355747644856082
764,36.0812593,140.0803424,0,273.522655,28305.457564,44414.024158,-221.744254,0.000000000,0.000000000,-0.999527534,-0.030736123,2,2,0,0,1,-1,356.86208080202,-194.230247535806,357.207304060806,-194.521550716483,46.0285287724474,0.451704152603393
765,36.0812603,140.0803223,0,42.277279,28303.646804,44414.129323,-221.736962,0.000000000,0.000000000,0.404524934,0.914526969,2,2,0,0,1,1,355.053794865535,-194.118928045294,356.12186823225,-194.217788461783,46.3965046704847,1.07263884818374
767,36.0812611,140.0803232,0,76.100331,28303.727580,44414.218348,-221.737942,0.000000000,0.000000000,0.121000270,0.992652474,2,2,0,0,1,-1,355.13476289029,-194.02987245241,355.366536038564,-194.354150360498,45.7576882114319,0.398591211562558
768,36.0812612,140.0803237,0,96.990681,28303.772579,44414.229588,-221.738220,0.000000000,0.000000000,-0.060967367,0.998139760,2,2,0,0,1,-1,355.179745127402,-194.0187405032,355.10199104336,-194.18146680146,45.7336579641207,0.180348400964925
769,36.0812568,140.0803681,0,91.881468,28307.773252,44413.754170,-221.752634,0.000000000,0.000000000,-0.016418168,0.999865213,2,2,0,0,1,-1,359.174167793643,-194.508546262878,359.080957646517,-194.758472332654,46.0759171910606,0.266741770034816
770,36.0812556,140.0804133,0,95.085736,28311.844835,44413.634048,-221.769846,0.000000000,0.000000000,-0.044366851,0.999015306,2,2,0,0,1,-1,363.240562040285,-194.642129651809,363.174147867549,-194.776474151311,46.6015736272245,0.149864228175539
771,36.0812525,140.0804564,0,93.834375,28315.727953,44413.302504,-221.784748,0.000000000,0.000000000,-0.033454990,0.999440225,2,2,0,0,1,-1,367.118030889014,-194.987220073346,367.173568910329,-195.149069088116,47.0479382816442,0.171112756373409
772,36.0812499,140.0805044,0,91.779872,28320.052233,44413.027852,-221.802007,0.000000000,0.000000000,-0.015531689,0.999879376,2,2,0,0,1,-1,371.436325661946,-195.276650749627,371.227045142077,-195.643488998668,47.1836075894597,0.422337112928129
773,36.0812488,140.0805482,0,95.297781,28323.997683,44412.918428,-221.818742,0.000000000,0.000000000,-0.046215393,0.998931498,2,2,0,0,1,-1,375.376769641608,-195.399102189348,375.270766626612,-195.573614703141,47.8041981515909,0.204184369280685
774,36.0812456,140.0805909,0,92.908966,28327.844809,44412.575678,-221.833414,0.000000000,0.000000000,-0.025382791,0.999677805,2,2,0,0,1,-1,379.218252702693,-195.755324560095,379.208696793044,-196.276980707655,47.9604841941726,0.52174366474001
775,36.0812436,140.0806396,0,92.399078,28332.231924,44412.367808,-221.851426,0.000000000,0.000000000,-0.020934376,0.999780852,2,2,0,0,1,-1,383.599522606559,-195.977963541119,383.178057575545,-196.854264972466,47.898397185945,0.97238725359185
776,36.0812421,140.0806839,0,98.198420,28336.222553,44412.214151,-221.868061,0.000000000,0.000000000,-0.071483692,0.997441769,2,2,0,0,1,-1,387.584948825889,-196.144942777678,387.229646302082,-197.380784390223,48.0327581161047,1.28590216374371
777,36.081237,140.0807277,0,91.300582,28340.169438,44411.660905,-221.881712,0.000000000,0.000000000,-0.011349475,0.999935593,2,2,0,0,1,-1,391.525392805551,-196.71267218024,391.005221344253,-198.711583816838,47.7185443239319,2.06548446619074
